Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog,9,786,546,397,18,82,2,158,455,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Properties,3,140,73,25,4,20,2,47,269,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole,28,2626,1929,1166,241,490,2,207,862,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands,9,1081,824,490,154,229,0,28,102,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\Commands,4,158,120,86,5,30,0,8,46,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Console,3,446,321,201,32,78,0,47,198,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Extensions,4,210,173,94,19,31,0,6,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Helpers,1,128,71,44,9,23,0,34,123,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Properties,3,128,61,26,4,20,2,47,269,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\UserControls,3,255,200,128,11,48,0,7,22,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin,18,2212,1566,1234,45,178,2,468,1028,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Controls,2,418,278,205,15,51,0,89,248,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Properties,3,128,61,26,4,20,2,47,269,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Windows,8,1279,942,791,15,75,0,262,313,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.UnitTest,2,36,28,8,0,7,0,1,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.UnitTest\Properties,1,21,15,3,0,5,0,1,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.UnitTest\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.UnitTest\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Common,3,155,111,73,6,29,0,15,59,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\EntityConfigurations,1,29,25,14,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Helpers,4,258,194,122,21,51,0,13,31,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Helpers\V3,1,161,120,77,18,37,0,4,10,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Migrations,1,25,18,10,0,4,0,3,25,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Properties,1,89,38,20,4,10,1,41,186,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories,5,254,210,120,25,42,0,2,10,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel,19,2139,1398,813,212,315,0,426,1801,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\Commands,4,797,600,347,150,131,0,66,364,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\Parts,4,220,125,71,3,30,0,65,241,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\Properties,1,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\Receiving,5,532,309,179,20,70,0,153,647,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\Settings,1,16,14,10,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\Receiving_PackerConsoleControlPanel\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
