File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Helpers\V3\V3ResourceImporter.cs,161,120,77,18,37,0,4,10,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Migrations\Configuration.cs,25,18,10,0,4,0,3,25,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Properties\Resources.Designer.cs,89,38,20,4,10,1,41,186,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories\JobRepository.cs,53,43,25,6,10,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories\PartRepository.cs,43,36,21,4,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories\ReceiverEntriesRepository.cs,78,64,34,11,14,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories\ReceiverRepository.cs,44,35,20,4,7,0,2,10,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel\Repositories\XmlRepository.cs,36,32,20,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\ConsoleWin.cs,22,20,14,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\ConsoleWin.Designer.cs,39,24,12,1,4,0,11,54,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\IConsole.cs,23,19,15,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Program.cs,18,16,9,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Settings.cs,115,86,43,2,27,0,2,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\CommandUtility.cs,43,33,21,5,6,0,4,7,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\DatabaseCommands.cs,22,19,11,0,3,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\DefaultCommands.cs,26,20,12,1,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\JobCommands.cs,205,156,90,34,49,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\PartCommands.cs,201,146,90,31,49,0,6,11,0,0
